Node_ID,Elevation_Smoothen_ft,Curve_Current_degrees,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Cumulative_Length_ft
92,818.9153429,0.00074,POINT (-79.7787 36.07019),-79.7787,36.07019,0,0,0,4600
93,818.4895,0.00074,POINT (-79.7786 36.07021),-79.7786,36.07021,0,0,0,4650
94,817.9804571,0,POINT (-79.7785 36.07024),-79.7785,36.07024,0,0,0,4700
95,817.5038714,0,POINT (-79.7783 36.07026),-79.7783,36.07026,0,0,0,4750
96,817.1508714,0,POINT (-79.7782 36.07028),-79.7782,36.07028,0,0,0,4800
97,816.8606714,0.00058,POINT (-79.7781 36.0703),-79.7781,36.0703,0,0,0,4850
98,816.4709143,0.00058,POINT (-79.7779 36.07032),-79.7779,36.07032,0,0,0,4900
99,816.1575571,0,POINT (-79.7778 36.07035),-79.7778,36.07035,0,0,0,4950
100,815.6970143,0,POINT (-79.7777 36.07037),-79.7777,36.07037,0,1,0,5000
101,815.2900143,0.79402,POINT (-79.7775 36.07039),-79.7775,36.07039,0,0,0,5050
102,814.8084429,2.86856,POINT (-79.7774 36.07041),-79.7774,36.07041,0,0,0,5100
103,814.1879,0.00056,POINT (-79.7773 36.07044),-79.7773,36.07044,0,0,0,5150
104,813.4898143,0.00056,POINT (-79.7771 36.07046),-79.7771,36.07046,0,0,0,5200
105,812.9347714,0.00072,POINT (-79.777 36.07049),-79.777,36.07049,0,0,0,5250
106,812.3218143,0.0009,POINT (-79.7769 36.07051),-79.7769,36.07051,0,0,0,5300
107,811.7347429,0.0009,POINT (-79.7767 36.07054),-79.7767,36.07054,0,0,0,5350
108,811.1276429,0.00072,POINT (-79.7766 36.07056),-79.7766,36.07056,0,0,0,5400
109,810.5349571,0.00056,POINT (-79.7765 36.07059),-79.7765,36.07059,0,0,0,5450
110,809.8897571,0.00056,POINT (-79.7763 36.07061),-79.7763,36.07061,0,0,0,5500
111,809.2577714,0.00072,POINT (-79.7762 36.07064),-79.7762,36.07064,0,0,0,5550
112,808.6705571,0.0009,POINT (-79.7761 36.07066),-79.7761,36.07066,0,0,0,5600
113,808.1002429,0.0009,POINT (-79.7759 36.07069),-79.7759,36.07069,0,0,0,5650
114,807.6714143,0.00072,POINT (-79.7758 36.07071),-79.7758,36.07071,0,0,0,5700
115,807.4519429,0.00056,POINT (-79.7757 36.07074),-79.7757,36.07074,0,0,0,5750
116,807.3537143,3.71786,POINT (-79.7755 36.07076),-79.7755,36.07076,0,0,0,5800
117,807.4191143,0.83566,POINT (-79.7754 36.07079),-79.7754,36.07079,0,0,0,5850
118,807.5913429,0,POINT (-79.7753 36.07081),-79.7753,36.07081,0,0,0,5900
119,807.7935857,0,POINT (-79.7751 36.07083),-79.7751,36.07083,0,0,0,5950
120,808.0687857,0.00014,POINT (-79.775 36.07085),-79.775,36.07085,0,0,0,6000
121,808.3495429,0.00014,POINT (-79.7749 36.07087),-79.7749,36.07087,0,0,0,6050
122,808.5462286,0.00074,POINT (-79.7747 36.07089),-79.7747,36.07089,0,0,0,6100
123,808.7754714,0.00074,POINT (-79.7746 36.07091),-79.7746,36.07091,0,0,0,6150
124,808.9829857,0,POINT (-79.7745 36.07093),-79.7745,36.07093,0,0,0,6200
125,809.1836571,0.00014,POINT (-79.7743 36.07095),-79.7743,36.07095,0,0,0,6250
126,809.3737429,0.00014,POINT (-79.7742 36.07097),-79.7742,36.07097,0,0,0,6300
127,809.5657429,0,POINT (-79.774 36.07099),-79.774,36.07099,0,0,0,6350
128,809.7255286,0,POINT (-79.7739 36.07101),-79.7739,36.07101,0,0,0,6400
129,809.8790429,0.00014,POINT (-79.7738 36.07104),-79.7738,36.07104,0,0,0,6450
130,809.9944,0.00014,POINT (-79.7736 36.07106),-79.7736,36.07106,0,0,0,6500
131,810.1028429,0,POINT (-79.7735 36.07108),-79.7735,36.07108,0,0,0,6550
132,810.2026143,0,POINT (-79.7734 36.0711),-79.7734,36.0711,0,0,0,6600
133,810.3077286,0,POINT (-79.7732 36.07112),-79.7732,36.07112,0,0,0,6650
134,810.4272,0.0006,POINT (-79.7731 36.07114),-79.7731,36.07114,0,0,0,6700
