origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-24,1706134274,Piedmont,77,-80.008792,35.956096,15.96,POINT (-80.008792 35.956096)
2024-01-23,1706078095,Crescent,19,-80.0088,35.956108,24.92,POINT (-80.0088 35.956108)
2024-01-26,1706301486,Piedmont,75,-80.008762,35.956108,32.3,POINT (-80.008762 35.956108)
2024-01-19,1705684246,Piedmont,73,-80.008792,35.956108,31.86,POINT (-80.008792 35.956108)
2024-01-25,1706187540,Carolinian,80,-80.008685,35.956108,48.57,POINT (-80.008685 35.956108)
2024-01-22,1705970829,Carolinian,79,-80.0088,35.956108,16.57,POINT (-80.0088 35.956108)
2024-01-21,1705884243,Carolinian,79,-80.008792,35.956108,16.05,POINT (-80.008792 35.956108)
2024-01-20,1705755524,Carolinian,80,-80.008754,35.956127,49.83,POINT (-80.008754 35.956127)
2024-01-23,1706030411,Piedmont,73,-80.008762,35.956127,25.26,POINT (-80.008762 35.956127)
2024-01-25,1706234355,Piedmont,78,-80.008617,35.956127,31.13,POINT (-80.008617 35.956127)
2024-01-23,1706047854,Piedmont,77,-80.0088,35.956127,27.27,POINT (-80.0088 35.956127)
2024-01-27,1706387860,Piedmont,74,-80.008754,35.956138,26.44,POINT (-80.008754 35.956138)
2024-01-20,1705789733,Piedmont,77,-80.008792,35.956138,23.61,POINT (-80.008792 35.956138)
2024-01-23,1706026075,Carolinian,80,-80.008716,35.956146,42.96,POINT (-80.008716 35.956146)
2024-01-21,1705869295,Piedmont,74,-80.008693,35.956146,33.54,POINT (-80.008693 35.956146)
2024-01-20,1705768852,Piedmont,72,-80.008731,35.956157,34.01,POINT (-80.008731 35.956157)
2024-01-19,1705751211,Crescent,20,-80.008701,35.956169,42.3,POINT (-80.008701 35.956169)
2024-01-21,1705894305,Piedmont,78,-80.00867,35.956169,27.43,POINT (-80.00867 35.956169)
2024-01-30,1706647106,Piedmont,74,-80.00864,35.956169,29.96,POINT (-80.00864 35.956169)
2024-01-18,1705629357,Piedmont,78,-80.00867,35.956176,26.3,POINT (-80.00867 35.956176)
2024-02-12,1707825029,Crescent,20,-80.008716,35.956176,40.36,POINT (-80.008716 35.956176)
2024-01-23,1706096827,Crescent,20,-80.00864,35.956195,40.07,POINT (-80.00864 35.956195)
2024-01-25,1706214907,Piedmont,74,-80.008617,35.956207,37.66,POINT (-80.008617 35.956207)
2024-01-24,1706101144,Carolinian,80,-80.008617,35.956226,46.96,POINT (-80.008617 35.956226)
2024-01-28,1706461131,Piedmont,73,-80.00838,35.956268,27.97,POINT (-80.00838 35.956268)
2024-01-29,1706615412,Crescent,20,-80.00838,35.956378,21.45,POINT (-80.00838 35.956378)
