Speed_mph,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
53.69,0.0002,1.3586,4.7418,3.8408,2.3248,8.6222,7.0132,3.4022,1.81282,2.54236,1.50332,-1.1526428999999325,-0.6378427999999303,-0.4668858,-0.11517140000000836,-0.24522859999990487,0.5395856999999751,-0.4673142999999982,-0.06005720000007386,-1.0737570999999662,-0.4592000000000098,-0.4655285000000049,4400,0,0,4250,0,0
34.44,0.00054,0.00092,2.44656,1.81154,0.0009,0.0009,11.59782,13.02022,13.1112,1.1462,0.001,-0.6195286000000806,-0.7491284999999834,-0.84962859999996,-0.8222000000000662,-0.7965714000000617,-0.7191856999999118,-0.37170000000003256,-0.24449999999990268,-0.6522856999999931,-0.5126856999999063,-0.527228599999944,10950,0,0,4050,0,0
71.2,0.0,0.00092,2.44656,0.0009,0.0009,0.0009,6.09194,11.59782,13.02022,13.1112,0.0954,-0.8678285999999389,-0.906885700000089,-0.8222000000000662,-0.8659857000000102,-0.7191856999999118,-0.8561571000000185,-0.37170000000003256,-0.24449999999990268,-0.42062860000010005,-0.5908428000000185,-0.5126856999999063,10650,0,0,4350,0,0
69.23,0.00092,0.00092,2.44656,0.0009,0.0009,0.0009,3.77986,11.59782,13.02022,13.1112,1.1462,-0.9166285999999673,-0.8914999999999509,-0.8222000000000662,-0.8775999999999158,-0.7191856999999118,-0.836471500000016,-0.37170000000003256,-0.24449999999990268,-0.32448570000008203,-0.5908428000000185,-0.5126856999999063,10600,0,0,4400,0,0
68.08,0.0,13.1112,13.02022,11.59782,0.00092,2.44656,1.1462,0.001,0.903,0.0006,0.0006,-0.6909286000000066,-0.6656143000000156,-0.24449999999990268,-0.37170000000003256,-0.8176428999998961,-0.84962859999996,-0.5292713999999705,-0.5126856999999063,-0.6459856999999829,-0.8174714000000449,-0.4867857000000413,12400,0,0,2600,0,0
65.32,0.0,13.1112,13.02022,11.59782,0.00092,2.44656,1.1462,0.001,0.903,0.0006,0.0006,-0.6909286000000066,-0.6656143000000156,-0.24449999999990268,-0.37170000000003256,-0.8176428999998961,-0.84962859999996,-0.5292713999999705,-0.5126856999999063,-0.6459856999999829,-0.8174714000000449,-0.4867857000000413,12400,0,0,2600,0,0
69.0,0.00074,2.44656,0.00074,0.0009,0.0009,0.0009,0.00092,11.59782,13.02022,13.1112,1.1462,-0.9167142999999669,-0.84962859999996,-0.8222000000000662,-0.7457570999999916,-0.7191856999999118,-0.6197856999999658,-0.7491284999999834,-0.37170000000003256,-0.24449999999990268,-0.6656143000000156,-0.5292713999999705,10400,0,0,4600,0,0
48.77,2.52024,11.1344,8.32592,0.00092,0.30718,0.00072,10.819,14.098,9.6726,0.001,14.9876,-0.7568142999999736,-0.6352000000000544,-0.8158571999999822,0.17198569999993651,-0.0297142999999096,0.7280572000000802,-0.5896427999999787,0.8716141999999536,0.6125286000000187,0.5507285999999567,2.4354285000000573,1500,0,0,2750,0,0
50.34,2e-05,8.32592,0.00092,0.00072,0.30718,2.18222,11.1344,10.819,14.098,9.6726,14.9876,-1.095842800000014,-0.8158571999999822,-0.7050713999999516,0.17198569999993651,-0.4467142999999396,0.7280572000000802,-0.6352000000000544,-0.13684280000006765,0.8716141999999536,0.5702572000000146,1.1286857000000055,1200,0,0,3050,0,0
50.87,4e-05,14.59428,12.82246,2.05012,1.16302,0.00104,19.26312,13.2766,8.6822,0.524,1.4162,-0.7743285999999898,-0.8735285000000204,-0.18611420000002,-0.8959427999999434,-0.620742899999982,-0.6696857000000591,-0.3635285999999951,-0.25634279999997034,-0.4317999999999529,0.22817140000006475,4.288942899999938,7650,0,0,2300,0,0
