Speed_mph,Elevation_Smoothen_ft,Curve_Current_degrees,Curve_Max_Preceding_250ft_degrees,Curve_Max_Following_250ft_degrees,Elev_Delta_CUR_ft,Elev_Delta_PRE_ft,Elev_Delta_FOL_ft,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft
0.01,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785586 36.069019),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785533 36.069026),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785541 36.069038),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.27,836.6443286,0.13482,1.75178,0.00072,0.3405142999999953,0.6104428999999527,0.20141430000001037,400.0,650.0,1,0,0,POINT (-79.785655 36.069019),-79.7857,36.06893,0,0,0,1650.0,400.0,40,715000
0.0,836.6443286,0.13482,1.75178,0.00072,0.3405142999999953,0.6104428999999527,0.20141430000001037,400.0,650.0,1,0,0,POINT (-79.785686 36.069019),-79.7857,36.06893,0,0,0,1650.0,400.0,40,715000
0.01,836.6443286,0.13482,1.75178,0.00072,0.3405142999999953,0.6104428999999527,0.20141430000001037,400.0,650.0,1,0,0,POINT (-79.78563999999999 36.069045),-79.7857,36.06893,0,0,0,1650.0,400.0,40,715000
12.5,835.8503,0.00016,1.274,1.75178,0.6104428999999527,0.6104428999999527,0.5978571000000557,550.0,500.0,1,0,0,POINT (-79.78532699999998 36.06909900000001),-79.7853,36.069,0,0,0,1800.0,550.0,43,714850
32.3,835.0499857,0.85498,1.274,1.75178,0.5219427999999198,6.295157200000062,0.6104428999999527,700.0,350.0,1,0,0,POINT (-79.78481599999999 36.069137),-79.7849,36.06907,0,0,0,1950.0,700.0,46,714700
23.42,834.8091143,1.274,0.00074,0.85498,0.43817139999998744,6.317000000000007,0.6104428999999527,750.0,300.0,1,0,0,POINT (-79.78473999999999 36.069137),-79.7847,36.06909,0,0,0,2000.0,750.0,47,714650
24.6,834.8091143,1.274,0.00074,0.85498,0.43817139999998744,6.317000000000007,0.6104428999999527,750.0,300.0,1,0,0,POINT (-79.78473999999999 36.069156),-79.7847,36.06909,0,0,0,2000.0,750.0,47,714650
