Node_ID,Cumulative_Length_ft,Elevation_Smoothen_ft,x_coordinate,y_coordinate,Curve_degree,Station,Intersection,Switch,Switch_if
268,13400,804.5952286,-79.7556,36.0755,2.86192,,,,0
269,13450,804.5621286,-79.7555,36.07555,8.32278,,,,0
270,13500,804.5296,-79.7554,36.07561,0.00038,,,,0
271,13550,804.4734571,-79.7552,36.07566,0.00102,,,,0
272,13600,804.4335286,-79.7551,36.07572,0.00064,,,,0
273,13650,804.5776857,-79.755,36.07577,0.00038,,,,0
274,13700,804.6032571,-79.7549,36.07583,0.00102,,,,0
275,13750,804.5093714,-79.7548,36.07589,0.00064,,,,0
276,13800,804.3479429,-79.7546,36.07594,0.00038,,,,0
277,13850,804.0574429,-79.7545,36.076,7.1385,,,,0
278,13900,803.6592857,-79.7544,36.07606,7.18346,,,,0
279,13950,803.2094571,-79.7543,36.07613,0,,,,0
280,14000,802.5452714,-79.7542,36.07619,0.00046,,,,0
281,14050,801.9054286,-79.7541,36.07626,0.00046,,,,0
282,14100,801.2865286,-79.754,36.07633,0.00046,,,,0
283,14150,800.7407714,-79.7539,36.0764,0.00014,,,,0
284,14200,800.1615571,-79.7538,36.07646,0.0006,,,,0
285,14250,799.7321571,-79.7537,36.07653,0.00046,,,,0
286,14300,799.4460143,-79.7535,36.0766,0.00046,,,,0
287,14350,799.3623286,-79.7534,36.07667,0,,,,0
288,14400,799.3375571,-79.7533,36.07673,0.00046,,,,0
289,14450,799.3823571,-79.7532,36.0768,0.00046,,,,0
290,14500,799.5138714,-79.7531,36.07687,0.00046,,,,0
291,14550,799.9213,-79.753,36.07694,0.00046,,,,0
292,14600,800.3165,-79.7529,36.077,0.0006,,,,0
293,14650,800.5835,-79.7528,36.07707,0.0006,,,,0
294,14700,800.7561286,-79.7527,36.07714,0,,,,0
295,14750,800.9780286,-79.7526,36.07721,2.88692,,,,0
296,14800,801.2294143,-79.7525,36.07727,1.464,,,,0
297,14850,801.4405429,-79.7524,36.07733,0.00018,,,,0
298,14900,801.5708714,-79.7522,36.0774,1.56486,,,,0
299,14950,801.7007286,-79.7521,36.07746,2.22198,,,,0
300,15000,801.9458143,-79.752,36.07753,0.00046,,,,0
301,15050,802.2786571,-79.7519,36.0776,0.00046,,,,0
302,15100,802.6051,-79.7518,36.07766,0.0006,,,,0
303,15150,802.9085429,-79.7517,36.07773,0.0006,,,,0
304,15200,803.2166857,-79.7516,36.0778,0.00046,,,,0
305,15250,803.5416571,-79.7515,36.07787,0.00014,,,,0
306,15300,803.9071714,-79.7514,36.07793,0.0006,,,,0
307,15350,804.2496714,-79.7513,36.078,0.00046,,,,0
308,15400,804.5861714,-79.7511,36.07807,0.00046,,,,0
309,15450,804.9105286,-79.751,36.07813,0.0006,,,,0
310,15500,805.1786,-79.7509,36.0782,0.00014,,,,0
311,15550,805.4215143,-79.7508,36.07827,0.00046,,,,0
312,15600,805.6581143,-79.7507,36.07833,0,,,,0
313,15650,805.8812143,-79.7506,36.0784,0.0006,,,,0
314,15700,806.1074143,-79.7505,36.07847,0.00014,,,,0
315,15750,806.3071857,-79.7504,36.07854,0.0006,,,,0
316,15800,806.4892571,-79.7503,36.0786,0.0006,,,,0
317,15850,806.6748143,-79.7502,36.07867,0.0006,,,,0
318,15900,806.8367429,-79.7501,36.07874,0,,,,0
319,15950,806.9911571,-79.7499,36.0788,0,,,,0
320,16000,807.1290286,-79.7498,36.07887,0.0006,,,,0
321,16050,807.2688571,-79.7497,36.07894,0.0006,,,,0
322,16100,807.4008714,-79.7496,36.079,0,,,,0
323,16150,807.5137,-79.7495,36.07907,0.00046,,,,0
324,16200,807.6210286,-79.7494,36.07914,0.00014,,,,0
325,16250,807.7511,-79.7493,36.07921,0.0006,,,,0
326,16300,807.8470286,-79.7492,36.07927,0,,,,0
327,16350,807.9137429,-79.7491,36.07934,0,,,,0
328,16400,807.9579714,-79.749,36.07941,0.0006,,,,0
329,16450,808.0096286,-79.7489,36.07947,0.0006,,,,0
330,16500,808.0492143,-79.7487,36.07954,0,,,,0
331,16550,808.1084,-79.7486,36.07961,0,,,,0
332,16600,808.2275857,-79.7485,36.07967,0.0006,,,,0
333,16650,808.2190571,-79.7484,36.07974,0.0006,,,,0
334,16700,808.2113143,-79.7483,36.07981,0,,,,0
335,16750,808.2214571,-79.7482,36.07988,0.00106,,,,0
336,16800,808.2083143,-79.7481,36.07994,0.00046,,,,0
337,16850,808.1862857,-79.748,36.08001,0.00046,,,,0
338,16900,808.1121286,-79.7479,36.08008,0,,,,0
339,16950,807.9239429,-79.7478,36.08014,0.00046,,,,0
340,17000,807.8443,-79.7477,36.08021,0.00046,,,,0
341,17050,807.8078,-79.7476,36.08028,0.00058,,,,0
342,17100,807.7541714,-79.7474,36.08034,0.00104,,,,0
343,17150,807.6594429,-79.7473,36.08041,0.00046,,,,0
344,17200,807.5284,-79.7472,36.08048,0,,,,0
345,17250,807.3992857,-79.7471,36.08054,0.61822,,,,0
346,17300,807.2590429,-79.747,36.08061,3.92552,,,,0
347,17350,807.0825286,-79.7469,36.08067,0.00062,,,,0
348,17400,806.8037429,-79.7468,36.08074,0.00018,,,,0
