OBJECTID,ORIG_FID,ORIG_LEN,ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
6618,1,116189.9924,7625,405.1488037,-78.85767373,35.96425766
6619,1,116205.2324,7626,405.3006592,-78.85759878,35.96416493
6620,1,116220.4724,7627,405.4785156,-78.85752384,35.9640722
6621,1,116235.7125,7628,405.5465088,-78.8574489,35.96397947
6622,1,116250.9525,7629,405.6598816,-78.85737396,35.96388674
6623,1,116266.1925,7630,405.8931274,-78.85729901,35.96379401
6624,1,116281.4326,7631,405.8418579,-78.85722407,35.96370128
6625,1,116296.6726,7632,406.0149841,-78.85714913,35.96360855
6626,1,116311.9126,7633,406.1975403,-78.85707418,35.96351581
6627,1,116327.1527,7634,406.2797546,-78.85699924,35.96342308
6628,1,116342.3927,7635,406.4957581,-78.85692554,35.96332971
6629,1,116357.6327,7636,406.7284241,-78.85685392,35.96323528
6630,1,116372.8727,7637,406.8565979,-78.85678231,35.96314084
6631,1,116388.1128,7638,407.0994873,-78.85671069,35.9630464
6632,1,116403.3528,7639,407.2159424,-78.85663908,35.96295196
6633,1,116418.5928,7640,407.51297,-78.85656746,35.96285752
6634,1,116433.8329,7641,407.8961487,-78.85649584,35.96276308
6635,1,116449.0729,7642,408.1587219,-78.85642513,35.96266821
6636,1,116464.3129,7643,408.4029541,-78.85635586,35.96257263
6637,1,116479.553,7644,408.5490723,-78.8562866,35.96247704
6638,1,116494.793,7645,408.6873779,-78.85621734,35.96238146
6639,1,116510.033,7646,408.8461304,-78.85614793,35.96228595
6640,1,116525.2731,7647,408.9253235,-78.8560783,35.96219054
6641,1,116540.5131,7648,409.0678406,-78.85600868,35.96209513
6642,1,116555.7531,7649,409.2822876,-78.85593906,35.96199972
6643,1,116570.9931,7650,409.3747253,-78.85587033,35.9619039
6644,1,116586.2332,7651,409.3459167,-78.85580704,35.96180564
6645,1,116601.4732,7652,409.3719482,-78.85574375,35.96170738
6646,1,116616.7132,7653,409.4033508,-78.85568047,35.96160912
6647,1,116631.9533,7654,409.2607117,-78.85562144,35.96150915
6648,1,116647.1933,7655,409.2105408,-78.85556324,35.96140886
6649,1,116662.4333,7656,409.0352783,-78.85550504,35.96130856
6650,1,116677.6734,7657,408.8979797,-78.85544684,35.96120825
6651,1,116692.9134,7658,408.8053589,-78.85539102,35.96110711
6652,1,116708.1534,7659,408.6817322,-78.85533886,35.96100465
6653,1,116723.3934,7660,408.4876709,-78.8552867,35.9609022
6654,1,116738.6335,7661,408.29422,-78.85523843,35.96079857
6655,1,116753.8735,7662,408.0835876,-78.85519513,35.96069345
6656,1,116769.1135,7663,407.9376526,-78.85515183,35.96058833
6657,1,116784.3536,7664,407.605835,-78.85510853,35.9604832
6658,1,116799.5936,7665,407.2941589,-78.85506522,35.96037808
6659,1,116814.8336,7666,407.1636963,-78.85502192,35.96027295
6660,1,116830.0737,7667,407.0057678,-78.85497862,35.96016783
6661,1,116845.3137,7668,406.9018555,-78.85493532,35.96006271
6662,1,116860.5537,7669,406.5475464,-78.85489201,35.95995758
6663,1,116875.7938,7670,406.4478149,-78.85484871,35.95985246
6664,1,116891.0338,7671,406.0674133,-78.85480541,35.95974733
6665,1,116906.2738,7672,405.806488,-78.85476211,35.95964221
6666,1,116921.5138,7673,405.6527405,-78.8547188,35.95953708
6667,1,116936.7539,7674,405.5496826,-78.8546755,35.95943196
6668,1,116951.9939,7675,405.5111694,-78.8546322,35.95932683
6669,1,116967.2339,7676,405.6193237,-78.85458678,35.9592223
6670,1,116982.474,7677,405.4719238,-78.85454135,35.95911776
6671,1,116997.714,7678,405.2376404,-78.85449592,35.95901322
6672,1,117012.954,7679,405.2559814,-78.85445049,35.95890869
6673,1,117028.1941,7680,405.3297119,-78.85440507,35.95880415
6674,1,117043.4341,7681,405.3659363,-78.85435964,35.95869961
6675,1,117058.6741,7682,405.2492981,-78.85431421,35.95859508
6676,1,117073.9141,7683,405.1960144,-78.85426878,35.95849054
6677,1,117089.1542,7684,405.1800842,-78.85422335,35.958386
6678,1,117104.3942,7685,405.1203003,-78.85417793,35.95828147
6679,1,117119.6342,7686,405.1245422,-78.8541325,35.95817693
6680,1,117134.8743,7687,405.0465088,-78.85408707,35.95807239
6681,1,117150.1143,7688,405.0650635,-78.85404164,35.95796786
6682,1,117165.3543,7689,404.8782043,-78.85399621,35.95786332
6683,1,117180.5944,7690,405.0205994,-78.85395079,35.95775878
6684,1,117195.8344,7691,404.6997681,-78.85390536,35.95765424
6685,1,117211.0744,7692,404.8573303,-78.85385993,35.9575497
6686,1,117226.3145,7693,404.6660156,-78.8538145,35.95744517
6687,1,117241.5545,7694,404.6377563,-78.85376908,35.95734063
6688,1,117256.7945,7695,404.5257568,-78.85372365,35.95723609
6689,1,117272.0345,7696,404.3543701,-78.85367822,35.95713155
6690,1,117287.2746,7697,404.4024353,-78.85363279,35.95702701
6691,1,117302.5146,7698,404.2142029,-78.85358736,35.95692247
6692,1,117317.7546,7699,404.0798035,-78.85354194,35.95681793
6693,1,117332.9947,7700,403.8811035,-78.85349651,35.95671339
6694,1,117348.2347,7701,403.8721619,-78.85345108,35.95660885
6695,1,117363.4747,7702,403.6348572,-78.85340565,35.95650432
6696,1,117378.7148,7703,403.4846497,-78.85336022,35.95639978
6697,1,117393.9548,7704,403.4278259,-78.8533148,35.95629524
6698,1,117409.1948,7705,403.184082,-78.85326937,35.9561907
6699,1,117424.4348,7706,402.9848633,-78.85322394,35.95608616
6700,1,117439.6749,7707,403.0026855,-78.85317851,35.95598162
6701,1,117454.9149,7708,403.4645386,-78.85313308,35.95587708
6702,1,117470.1549,7709,402.7295532,-78.85308766,35.95577254
6703,1,117485.395,7710,402.5881042,-78.85304223,35.955668
6704,1,117500.635,7711,402.5479736,-78.8529968,35.95556345
6705,1,117515.875,7712,402.1877747,-78.85295137,35.95545891
6706,1,117531.1151,7713,402.0585632,-78.85290604,35.95535435
6707,1,117546.3551,7714,401.8973999,-78.8528646,35.95524873
6708,1,117561.5951,7715,401.8934326,-78.85282317,35.9551431
6709,1,117576.8352,7716,401.8484192,-78.85278173,35.95503748
6710,1,117592.0752,7717,401.6923218,-78.85273906,35.95493219
6711,1,117607.3152,7718,401.4118652,-78.85269383,35.95482759
6712,1,117622.5552,7719,401.2473145,-78.8526486,35.954723
6713,1,117637.7953,7720,400.4292297,-78.85262032,35.95461491
6714,1,117653.0353,7721,398.4880676,-78.85259844,35.95450552
6715,1,117668.2753,7722,396.634613,-78.85256846,35.95439774
6716,1,117683.5154,7723,400.4664001,-78.85252498,35.95429265
6717,1,117698.7554,7724,396.2124634,-78.8524815,35.95418757
6718,1,117713.9954,7725,395.7177429,-78.85243802,35.95408249
6719,1,117729.2355,7726,395.7981262,-78.85239176,35.95397824
6720,1,117744.4755,7727,396.3807068,-78.85233957,35.95387579
6721,1,117759.7155,7728,397.0552063,-78.85228737,35.95377334
6722,1,117774.9555,7729,397.192749,-78.85223518,35.95367089
6723,1,117790.1956,7730,397.7062073,-78.85217881,35.95356996
6724,1,117805.4356,7731,398.0934753,-78.85211854,35.95347045
6725,1,117820.6756,7732,398.2921143,-78.85205826,35.95337095
6726,1,117835.9157,7733,398.7270813,-78.85199798,35.95327145
6727,1,117851.1557,7734,398.7277832,-78.85193771,35.95317194
6728,1,117866.3957,7735,398.5799255,-78.85187743,35.95307244
6729,1,117881.6358,7736,398.4346924,-78.85181716,35.95297294
6730,1,117896.8758,7737,398.2529907,-78.85175688,35.95287343
6731,1,117912.1158,7738,398.1781006,-78.8516903,35.95277663
6732,1,117927.3559,7739,398.1911011,-78.85162247,35.95268037
6733,1,117942.5959,7740,398.2540894,-78.85155465,35.9525841
6734,1,117957.8359,7741,397.9998474,-78.85147955,35.95249173
6735,1,117973.0759,7742,397.8374329,-78.85140339,35.95240002
6736,1,117988.316,7743,398.0560608,-78.85133814,35.9523026
6737,1,118003.556,7744,397.9221497,-78.85126205,35.95221049
6738,1,118018.796,7745,397.8626709,-78.85118549,35.95211861
6739,1,118034.0361,7746,397.7440796,-78.85110419,35.95202955
6740,1,118049.2761,7747,397.7376404,-78.85101915,35.95194269
6741,1,118064.5161,7748,397.6525269,-78.85093411,35.95185584
6742,1,118079.7562,7749,397.3814697,-78.85084907,35.95176899
6743,1,118094.9962,7750,397.4671936,-78.85075949,35.95168533
6744,1,118110.2362,7751,397.776947,-78.85066532,35.95160489
6745,1,118125.4763,7752,397.8044128,-78.85057115,35.95152445
6746,1,118140.7163,7753,398.4770813,-78.85047697,35.95144401
6747,1,118155.9563,7754,397.6013794,-78.8503828,35.95136357
6748,1,118171.1963,7755,397.3591309,-78.85028863,35.95128313
6749,1,118186.4364,7756,397.2478638,-78.85019445,35.95120269
6750,1,118201.6764,7757,397.1513672,-78.85010028,35.95112225
6751,1,118216.9164,7758,396.8551331,-78.85000611,35.95104181
6752,1,118232.1565,7759,396.4716797,-78.84991193,35.95096137
6753,1,118247.3965,7760,396.0923767,-78.84981776,35.95088093
6754,1,118262.6365,7761,395.637207,-78.84972358,35.95080049
6755,1,118277.8766,7762,395.1337891,-78.84962941,35.95072005
6756,1,118293.1166,7763,394.8148804,-78.84953524,35.95063961
6757,1,118308.3566,7764,394.5715027,-78.84944106,35.95055917
