origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-31,1706747002,Carolinian,79,-79.620738,36.111953,45.23,POINT (-8863340.010744646 4316036.886736188)
2023-12-24,1703446566,Piedmont,75,-79.620273,36.112129,65.08,POINT (-8863288.247181427 4316061.138566723)
2024-01-20,1705755065,Piedmont,71,-79.620235,36.112167,62.01,POINT (-8863284.017040778 4316066.37476454)
2024-01-31,1706737009,Piedmont,77,-79.466441,36.111309,57.74,POINT (-8846163.747273717 4315948.147546807)
2024-01-23,1706045521,Piedmont,77,-79.466945,36.111495,70.86,POINT (-8846219.852297077 4315973.777113732)
2024-01-21,1705882004,Carolinian,79,-79.56142,36.111568,63.58,POINT (-8856736.761189772 4315983.836046368)
2024-01-19,1705669003,Piedmont,71,-79.46786,36.111797,65.09,POINT (-8846321.709631154 4316015.390840923)
2023-12-26,1703639724,Carolinian,79,-79.46815,36.1119,66.79,POINT (-8846353.992283482 4316029.583638777)
2024-01-27,1706383302,Piedmont,75,-79.47594,36.112007,50.54,POINT (-8847221.171116762 4316044.327632959)
2024-01-29,1706556397,Piedmont,75,-79.564822,36.112037,66.01,POINT (-8857115.47009745 4316048.46146671)
2024-01-20,1705768002,Piedmont,73,-79.47552,36.112117,69.52,POINT (-8847174.416930629 4316059.485031097)
2024-01-31,1706746456,Carolinian,79,-79.469646,36.11222,49.55,POINT (-8846520.526241709 4316073.677886779)
2024-01-22,1705951925,Piedmont,75,-79.566463,36.112236,65.92,POINT (-8857298.145381842 4316075.882603897)
2024-01-31,1706705200,Piedmont,71,-79.474666,36.112289,50.75,POINT (-8847079.350085491 4316083.185732551)
2024-01-20,1705768300,Piedmont,73,-79.568072,36.112396,72.33,POINT (-8857477.258442529 4316097.929799761)
2024-01-28,1706486514,Carolinian,79,-79.568248,36.112434,68.78,POINT (-8857496.850672908 4316103.166015381)
2024-01-22,1705959724,Piedmont,77,-79.619693,36.112426,59.79,POINT (-8863223.68187677 4316102.063653987)
2023-12-24,1703454081,Piedmont,77,-79.618465,36.113006,59.44,POINT (-8863086.981542075 4316181.985146058)
2024-01-25,1706228944,Carolinian,79,-79.607722,36.113136,59.42,POINT (-8861891.076252481 4316199.898664908)
2024-01-21,1705855896,Piedmont,73,-79.606082,36.113147,63.9,POINT (-8861708.512287581 4316201.414425557)
