OBJECTID,x_coordinate,y_coordinate,Direction,Arc_Angle,Arc_Temp,Arc_straddle,Arc_Angle_All
188,-78.2971,35.54188,304.1266,0,good,360,0
189,-78.2972,35.54195,304.1266,0,good,360,0
190,-78.2973,35.54201,304.1263,0.0006,good,359.9994,0.0006
191,-78.2975,35.54207,304.1266,0.0006,good,359.9994,0.0006
192,-78.2976,35.54213,304.1266,0,good,360,0
193,-78.2977,35.5422,304.1266,0,good,360,0
194,-78.2978,35.54226,304.1266,0,good,360,0
195,-78.2979,35.54232,304.1266,0,good,360,0
196,-78.298,35.54238,304.1266,0,good,360,0
197,-78.2981,35.54245,304.1266,0,good,360,0
198,-78.2982,35.54251,304.1266,0,good,360,0
199,-78.2984,35.54257,304.1266,0,good,360,0
200,-78.2985,35.54263,304.1266,0,good,360,0
201,-78.2986,35.5427,304.1266,0,good,360,0
202,-78.2987,35.54276,304.1266,0,good,360,0
203,-78.2988,35.54282,304.1266,0,good,360,0
204,-78.2989,35.54288,304.1262,0.0008,good,359.9992,0.0008
205,-78.299,35.54295,304.1267,0.001,good,359.999,0.001
206,-78.2992,35.54301,304.1266,0.0002000000001,good,359.9998,0.0002000000001
207,-78.2993,35.54307,304.1266,0,good,360,0
208,-78.2994,35.54313,304.1266,0,good,360,0
209,-78.2995,35.5432,304.1262,0.0008,good,359.9992,0.0008
210,-78.2996,35.54326,304.1266,0.0008,good,359.9992,0.0008
211,-78.2997,35.54332,304.1266,0,good,360,0
212,-78.2998,35.54338,304.1266,0,good,360,0
213,-78.2999,35.54345,304.1266,0,good,360,0
214,-78.3001,35.54351,304.1266,0,good,360,0
215,-78.3002,35.54357,304.1266,0,good,360,0
216,-78.3003,35.54363,304.1266,0,good,360,0
217,-78.3004,35.5437,304.1266,0,good,360,0
218,-78.3005,35.54376,304.1266,0,good,360,0
219,-78.3006,35.54382,304.1266,0,good,360,0
220,-78.2718,35.52794,304.1266,0,good,360,0
221,-78.272,35.52801,304.1263,0.0006,good,359.9994,0.0006
222,-78.2721,35.52807,304.1266,0.0006,good,359.9994,0.0006
223,-78.2722,35.52813,304.1266,0,good,360,0
224,-78.2723,35.52819,304.1266,0,good,360,0
225,-78.2724,35.52826,304.1266,0,good,360,0
226,-78.2725,35.52832,304.1266,0,good,360,0
227,-78.2726,35.52838,304.1266,0,good,360,0
228,-78.2727,35.52844,304.1266,0,good,360,0
229,-78.2729,35.52851,304.1266,0,good,360,0
230,-78.273,35.52857,304.1266,0,good,360,0
231,-78.2731,35.52863,304.1266,0,good,360,0
232,-78.2732,35.52869,304.1266,0,good,360,0
233,-78.2733,35.52876,304.1266,0,good,360,0
234,-78.2734,35.52882,304.1266,0,good,360,0
235,-78.2735,35.52888,304.1266,0,good,360,0
236,-78.2737,35.52894,304.1266,0,good,360,0
237,-78.2738,35.52901,304.1263,0.0006,good,359.9994,0.0006
238,-78.2739,35.52907,304.1266,0.0006,good,359.9994,0.0006
239,-78.274,35.52913,304.1266,0,good,360,0
240,-78.2741,35.52919,304.1266,0,good,360,0
241,-78.2742,35.52926,304.1266,0,good,360,0
242,-78.2743,35.52932,304.1266,0,good,360,0
243,-78.2744,35.52938,304.1266,0,good,360,0
244,-78.2746,35.52944,304.1266,0,good,360,0
245,-78.2747,35.5295,304.1266,0,good,360,0
246,-78.2748,35.52957,304.1266,0,good,360,0
247,-78.2749,35.52963,304.1266,0,good,360,0
248,-78.275,35.52969,304.1266,0,good,360,0
249,-78.2751,35.52975,304.1266,0,good,360,0
250,-78.2752,35.52982,304.1266,0,good,360,0
251,-78.2754,35.52988,304.1266,0,good,360,0
252,-78.2755,35.52994,304.1266,0,good,360,0
253,-78.2756,35.53,304.1263,0.0006,good,359.9994,0.0006
254,-78.2757,35.53007,304.1266,0.0006,good,359.9994,0.0006
255,-78.2758,35.53013,304.1266,0,good,360,0
256,-78.2759,35.53019,304.1266,0,good,360,0
257,-78.276,35.53025,304.1266,0,good,360,0
258,-78.2761,35.53032,304.1266,0,good,360,0
259,-78.2763,35.53038,304.1266,0,good,360,0
260,-78.2764,35.53044,304.1266,0,good,360,0
261,-78.2765,35.5305,304.1266,0,good,360,0
262,-78.2766,35.53057,304.1266,0,good,360,0
263,-78.2767,35.53063,304.1266,0,good,360,0
264,-78.2768,35.53069,304.1266,0,good,360,0
265,-78.2769,35.53075,304.1266,0,good,360,0
