ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
256,546.5103149,-79.37265753,36.08725173
257,530.9824829,-79.37092401,36.08759057
258,535.1863403,-79.36925438,36.08810245
259,476.8240356,-79.36760518,36.08865709
260,535.7666016,-79.36595224,36.08920405
261,539.335144,-79.36426583,36.08967887
262,539.1992188,-79.36251423,36.08992711
263,549.3654785,-79.36073089,36.08999788
264,549.4777832,-79.35894494,36.09000067
265,561.1704102,-79.35716163,36.09008368
266,563.8283691,-79.3553976,36.0903032
267,570.2753906,-79.35367735,36.09069162
268,574.97229,-79.35193977,36.0910265
269,579.6430054,-79.35021173,36.0913852
270,579.7401733,-79.34867381,36.09210929
271,578.3144531,-79.34713041,36.09282085
272,573.0044556,-79.34537375,36.09301053
273,566.7475586,-79.34360419,36.0928241
274,562.0206909,-79.34184747,36.09256245
275,556.7476807,-79.34008942,36.09230668
276,551.0982056,-79.33833146,36.09205076
277,543.335083,-79.33660974,36.09167208
278,541.0358887,-79.33496645,36.09111098
279,535.3729248,-79.33324215,36.09075284
280,540.1364136,-79.33146298,36.09064333
281,543.2929077,-79.32969493,36.09083077
282,548.1668701,-79.3279397,36.09109824
283,553.8640747,-79.32631248,36.09166361
284,557.1865234,-79.3250094,36.09264508
285,564.2236938,-79.32368845,36.09360707
286,569.9952393,-79.32203121,36.09411505
287,574.0166016,-79.32025008,36.09408691
288,576.4059448,-79.31850048,36.09380239
289,584.0167236,-79.31672926,36.09362452
290,587.963623,-79.31494427,36.09359298
291,593.6651001,-79.31316655,36.09371971
292,598.4802856,-79.31144186,36.09407959
293,603.9564209,-79.30984395,36.09471716
294,607.857666,-79.30837086,36.09553276
295,614.0619507,-79.30688188,36.09632971
296,618.4980469,-79.30534767,36.09706864
297,621.4143677,-79.3037084,36.09764104
298,625.8884888,-79.30202384,36.09812006
299,628.4465942,-79.30029192,36.09847092
300,637.1286011,-79.29852835,36.09869283
301,636.2436523,-79.29674572,36.09873436
302,644.5634155,-79.29495969,36.09871349
303,647.5637207,-79.29317424,36.09866847
304,654.8681641,-79.29139023,36.09859704
305,659.0950928,-79.28960679,36.09851517
306,663.1599121,-79.28782335,36.09843329
307,668.1264648,-79.28603991,36.09835141
308,672.8721313,-79.28425647,36.09826953
309,676.7837524,-79.28247302,36.09818765
310,676.7719116,-79.28069064,36.09809189
311,673.4724731,-79.27890827,36.09799595
312,668.6032104,-79.27712767,36.09788153
313,672.0143433,-79.27534819,36.09775536
314,670.3806152,-79.2735834,36.09753535
315,672.5762939,-79.27186294,36.09714945
316,676.6925659,-79.27015872,36.0967172
317,678.4274292,-79.26846797,36.09625161
318,677.5814819,-79.26677995,36.09577939
319,675.2734985,-79.2650852,36.09532381
320,676.5679321,-79.26339196,36.0948655
321,681.9424438,-79.26171247,36.09437696
322,685.159729,-79.2599783,36.09403157
323,686.2843628,-79.25822258,36.09376577
324,689.822998,-79.25647523,36.09346597
325,692.5204468,-79.25472802,36.09316556
326,693.2003784,-79.25297758,36.0928778
327,693.394165,-79.25123202,36.09257143
328,696.3121948,-79.24953183,36.0921321
329,698.9730835,-79.24787975,36.09158496
330,701.6189575,-79.24628159,36.09094026
331,702.812439,-79.24469363,36.09027915
332,705.7992554,-79.243105,36.08961909
333,709.9309692,-79.24151936,36.08895435
334,714.0302124,-79.23993371,36.08828961
335,717.1622925,-79.23834922,36.08762309
336,720.5077515,-79.23677389,36.0869425
337,722.9796753,-79.23517505,36.0862996
338,724.5991821,-79.23350927,36.08578003
339,722.7655029,-79.23179383,36.08537975
340,721.079834,-79.23004002,36.0851092
341,720.7057495,-79.22827196,36.08490335
342,722.7411499,-79.22650605,36.08468655
343,724.7139893,-79.22473441,36.08450192
344,721.9628296,-79.22296606,36.0842978
345,717.7116699,-79.22119825,36.08409052
346,712.5320435,-79.21943045,36.08388323
347,709.4223633,-79.21766237,36.08367744
348,707.6369019,-79.21589369,36.08347509
349,704.8547974,-79.21412501,36.08327274
350,702.0744629,-79.21235632,36.08307038
351,700.8895264,-79.21058857,36.08286282
352,699.0274048,-79.20882091,36.08265472
353,698.6803589,-79.20705324,36.08244662
354,700.1866455,-79.20528558,36.08223852
355,702.2341309,-79.20351792,36.08203043
356,703.6494141,-79.20175026,36.08182233
357,702.8394165,-79.19998259,36.08161423
358,699.2827148,-79.19821615,36.08139961
359,694.3764038,-79.19644805,36.08119468
360,689.0453491,-79.19467992,36.08099072
361,683.7493286,-79.19292104,36.08073888
362,680.1939087,-79.1911917,36.08038217
363,674.0518188,-79.18951938,36.07987533
364,670.7110596,-79.18790337,36.07926125
365,667.7846069,-79.18634805,36.0785516
366,662.286438,-79.18475451,36.07790354
367,666.3800049,-79.18302925,36.07755593
368,665.1947021,-79.18125782,36.07766441
369,666.3365479,-79.17954225,36.07806224
370,666.3713989,-79.17786208,36.07855249
371,662.5735474,-79.1761549,36.07897476
372,659.1583252,-79.17439612,36.07919343
373,659.6541138,-79.17261271,36.07927072
374,659.1743164,-79.17082717,36.07930875
375,660.0836182,-79.16904086,36.07931265
376,663.8562622,-79.16725455,36.07931655
377,668.484314,-79.16546823,36.07932045
378,666.2203979,-79.16368212,36.07930431
379,659.1515503,-79.16189754,36.07924468
380,657.9431763,-79.16017549,36.07889629
381,651.6834106,-79.15867257,36.07812886
382,647.729126,-79.15734393,36.07716435
383,642.3369751,-79.15593532,36.07628122
384,632.2871094,-79.15427877,36.07575889
385,631.098877,-79.15251916,36.07551422
386,623.3577881,-79.15079305,36.07515151
387,619.2121582,-79.14922961,36.07446775
388,614.3152466,-79.14781426,36.07358754
389,609.3947144,-79.14632572,36.07279431
390,604.1576538,-79.14462373,36.07237837
