Date,Train Number,CCU,Coach,Loco
11/16/2023,73,,3,2
11/16/2023,75,1,4,1
11/17/2023,71,,4,2
11/17/2023,73,,6,2
11/17/2023,75,1,4,1
11/18/2023,71,1,4,1
11/18/2023,73,,6,2
11/18/2023,75,,5,2
11/19/2023,71,,6,2
11/19/2023,73,,4,2
11/19/2023,75,,5,2
11/20/2023,71,,5,2
11/20/2023,73,,4,2
11/20/2023,75,1,4,1
11/21/2023,71,,5,2
11/21/2023,73,,5,2
11/21/2023,75,1,4,1
11/22/2023,71,,5,2
11/22/2023,73,,5,2
11/22/2023,75,1,4,1
11/23/2023,71,,5,2
11/23/2023,73,,5,2
11/23/2023,75,1,4,1
11/24/2023,71,,5,2
11/24/2023,73,,5,2
11/24/2023,75,1,4,1
11/25/2023,71,,5,2
11/25/2023,73,1,5,1
11/25/2023,75,1,4,1
11/26/2023,71,,5,2
11/26/2023,73,1,5,1
11/26/2023,75,1,4,1
11/27/2023,71,,5,2
11/27/2023,73,1,5,1
11/27/2023,75,1,4,1
11/28/2023,71,,5,2
11/28/2023,73,1,4,1
11/28/2023,75,1,4,1
11/29/2023,71,1,4,1
11/29/2023,73,1,4,1
11/29/2023,75,,5,2
11/30/2023,71,1,4,1
11/30/2023,73,1,4,1
11/30/2023,75,,5,2
12/1/2023,71,,5,2
12/1/2023,73,1,4,1
12/1/2023,75,1,4,1
12/2/2023,71,1,4,1
12/2/2023,73,,5,2
12/2/2023,75,1,4,1
12/3/2023,71,,5,2
12/3/2023,73,1,4,1
12/3/2023,75,1,4,1
12/4/2023,71,,4,2
12/4/2023,73,1,4,1
12/4/2023,75,1,4,1
12/5/2023,71,,4,2
12/5/2023,73,1,4,1
12/5/2023,75,1,4,1
12/6/2023,71,1,4,1
12/6/2023,73,1,4,1
12/6/2023,75,,4,2
12/7/2023,71,,4,2
12/7/2023,73,1,4,1
12/7/2023,75,1,4,1
12/8/2023,71,1,4,1
12/8/2023,73,,4,2
12/8/2023,75,1,4,1
12/9/2023,71,1,4,1
12/9/2023,73,,4,2
12/9/2023,75,1,4,1
12/10/2023,71,,4,2
12/10/2023,73,1,4,1
12/10/2023,75,1,4,1
12/11/2023,71,,4,2
12/11/2023,73,1,4,1
12/11/2023,75,1,4,1
12/12/2023,71,,4,2
12/12/2023,73,1,4,1
12/12/2023,75,1,4,1
12/13/2023,71,1,4,1
12/13/2023,73,1,4,1
12/13/2023,75,,4,2
12/14/2023,71,1,4,1
12/14/2023,73,,4,2
12/14/2023,75,1,4,1
12/15/2023,71,,4,2
12/15/2023,73,1,4,1
12/15/2023,75,1,4,1
12/16/2023,71,,4,2
12/16/2023,73,1,5,1
12/16/2023,75,1,4,1
12/17/2023,71,,4,2
12/17/2023,73,1,4,1
12/17/2023,75,1,5,1
12/18/2023,71,,4,2
12/18/2023,73,1,4,1
12/18/2023,75,1,4,1
12/19/2023,71,1,4,1
12/19/2023,73,1,4,1
12/19/2023,75,,4,2
12/20/2023,71,1,4,1
12/20/2023,73,1,4,1
12/20/2023,75,,4,2
12/21/2023,71,,4,2
12/21/2023,73,1,5,1
12/21/2023,75,,4,2
12/22/2023,71,,5,2
12/22/2023,73,,5,2
12/22/2023,75,,4,2
12/23/2023,71,,5,2
12/23/2023,73,,5,2
12/23/2023,75,,4,2
12/24/2023,71,,5,2
12/24/2023,73,,5,2
12/24/2023,75,,4,2
12/25/2023,71,,5,2
12/25/2023,73,,5,2
12/25/2023,75,,4,2
12/26/2023,71,,5,2
12/26/2023,73,,5,2
12/26/2023,75,,4,2
12/27/2023,71,,4,2
12/27/2023,73,,5,2
12/27/2023,75,,4,2
12/28/2023,71,,5,2
12/28/2023,73,,5,2
12/28/2023,75,,4,2
12/29/2023,71,,5,2
12/29/2023,73,,5,2
12/29/2023,75,,4,2
12/30/2023,71,,5,2
12/30/2023,73,,5,2
12/30/2023,75,,4,2
12/31/2023,71,,5,2
12/31/2023,73,,5,2
12/31/2023,75,,4,2
1/1/2024,71,,5,2
1/1/2024,73,,5,2
1/1/2024,75,,4,2
1/2/2024,71,,5,2
1/2/2024,73,,5,2
1/2/2024,75,,4,2
1/3/2024,71,,5,2
1/3/2024,73,1,4,1
1/3/2024,75,,5,2
1/4/2024,71,,4,2
1/4/2024,73,1,4,1
1/4/2024,75,,4,2
1/5/2024,71,,4,2
1/5/2024,73,1,4,1
1/5/2024,75,,4,2
1/6/2024,71,,4,2
1/6/2024,73,1,4,1
1/6/2024,75,,4,2
1/7/2024,71,,4,2
1/7/2024,73,1,4,1
1/7/2024,75,,4,2
1/8/2024,71,,4,2
1/8/2024,73,1,4,1
1/8/2024,75,,4,2
1/9/2024,71,,4,2
1/9/2024,73,,4,2
1/9/2024,75,,4,2
1/10/2024,71,,4,2
1/10/2024,73,,4,2
1/10/2024,75,1,4,1
1/11/2024,71,,4,2
1/11/2024,73,,4,2
1/11/2024,75,,4,2
1/12/2024,71,,4,2
1/12/2024,73,,4,2
1/12/2024,75,,4,2
1/13/2024,71,,4,2
1/13/2024,73,,4,2
1/13/2024,75,,4,2
1/14/2024,71,,4,2
1/14/2024,73,,4,2
1/14/2024,75,,4,2
1/15/2024,71,,4,2
1/15/2024,73,,4,2
1/15/2024,75,,4,2
1/16/2024,71,,4,2
1/16/2024,73,,4,2
1/16/2024,75,,4,2
1/17/2024,71,,4,2
1/17/2024,73,,4,2
1/17/2024,75,,4,2
1/18/2024,71,,4,2
1/18/2024,73,,4,2
1/18/2024,75,,4,2
1/19/2024,71,,4,2
1/19/2024,73,,4,2
1/19/2024,75,,4,2
1/20/2024,71,,4,2
1/20/2024,73,,4,2
1/20/2024,75,,4,2
1/21/2024,71,,4,2
1/21/2024,73,,4,2
1/21/2024,75,,4,2
1/22/2024,71,,4,2
1/22/2024,73,,4,2
1/22/2024,75,1,4,1
1/23/2024,71,,4,2
1/23/2024,73,,4,2
1/23/2024,75,1,4,1
1/24/2024,71,,4,2
1/24/2024,73,1,4,1
1/24/2024,75,,4,2
1/25/2024,71,,4,2
1/25/2024,73,1,4,1
1/25/2024,75,,4,2
1/26/2024,71,,4,2
1/26/2024,73,1,4,1
1/26/2024,75,,4,2
1/27/2024,71,,4,2
1/27/2024,73,1,4,1
1/27/2024,75,,4,2
1/28/2024,71,,4,2
1/28/2024,73,1,4,1
1/28/2024,75,,4,2
1/29/2024,71,,4,2
1/29/2024,73,1,4,1
1/29/2024,75,,4,2
1/30/2024,71,,4,2
1/30/2024,73,1,4,1
1/30/2024,75,,4,2
1/31/2024,71,,4,2
1/31/2024,73,1,4,1
1/31/2024,75,,4,2
2/1/2024,71,,4,2
2/1/2024,73,1,4,1
2/1/2024,75,,4,2
2/2/2024,71,,4,2
2/2/2024,73,1,4,1
2/2/2024,75,1,4,1
2/3/2024,71,,4,2
2/3/2024,73,1,4,1
2/3/2024,75,1,4,1
2/4/2024,71,,4,2
2/4/2024,73,1,4,1
2/4/2024,75,1,4,1
2/5/2024,71,,4,2
2/5/2024,73,1,4,1
2/5/2024,75,1,4,1
2/6/2024,71,,4,2
2/6/2024,73,1,4,1
2/6/2024,75,,4,2
2/7/2024,71,,4,2
2/7/2024,73,1,4,1
2/7/2024,75,,4,2
2/8/2024,71,,4,2
2/8/2024,73,1,4,1
2/8/2024,75,,4,2
2/9/2024,71,,4,2
2/9/2024,73,1,4,1
2/9/2024,75,,4,2
2/10/2024,71,,4,2
2/10/2024,73,1,4,1
2/10/2024,75,,4,2
2/11/2024,71,,4,2
2/11/2024,73,,4,2
2/11/2024,75,1,4,1
2/12/2024,71,,4,2
2/12/2024,73,1,4,1
2/12/2024,75,,4,2
2/13/2024,71,,4,2
2/13/2024,73,1,4,1
2/13/2024,75,,4,2
2/14/2024,71,,4,2
2/14/2024,73,1,4,1
2/14/2024,75,,4,2
2/15/2024,73,,4,2
2/15/2024,75,1,4,1
2/16/2024,71,,4,2
2/16/2024,73,1,4,1
2/16/2024,75,,4,2
2/17/2024,71,,4,2
2/17/2024,73,1,4,1
2/17/2024,75,,5,2
2/18/2024,71,,4,2
2/18/2024,73,1,4,2
2/18/2024,75,,5,2
2/19/2024,71,,4,2
2/19/2024,73,1,4,1
2/19/2024,75,,4,2
2/20/2024,71,,4,2
2/20/2024,73,1,4,1
2/20/2024,75,,4,2
2/21/2024,71,,4,2
2/21/2024,73,1,4,1
2/21/2024,75,,4,2
2/22/2024,71,,4,2
2/22/2024,73,1,4,1
2/22/2024,75,,4,2
2/23/2024,71,,4,2
2/23/2024,73,1,4,1
2/23/2024,75,,4,2
2/24/2024,71,,4,2
2/24/2024,73,,4,2
2/24/2024,75,,4,2
2/25/2024,71,,4,2
2/25/2024,73,1,4,1
2/25/2024,75,,4,2
2/26/2024,71,,4,2
2/26/2024,73,1,4,1
2/26/2024,75,,4,2
2/27/2024,71,,4,2
2/27/2024,73,1,4,1
2/27/2024,75,,4,2
2/28/2024,71,,4,2
2/28/2024,73,1,4,1
2/28/2024,75,,4,2
2/29/2024,71,,4,2
2/29/2024,73,1,4,1
2/29/2024,75,,4,2
3/1/2024,71,,4,2
3/1/2024,73,,5,2
3/1/2024,75,,4,2
3/2/2024,71,,4,2
3/2/2024,73,,5,2
3/2/2024,75,,4,2
3/3/2024,71,,4,2
3/3/2024,73,,5,2
3/3/2024,75,,4,2
3/4/2024,71,,4,2
3/4/2024,73,,4,2
3/4/2024,75,,4,2
3/5/2024,71,,4,2
3/5/2024,73,,4,2
3/5/2024,75,,4,2
3/6/2024,71,,4,2
3/6/2024,73,,4,2
3/6/2024,75,,4,2
3/7/2024,71,,4,2
3/7/2024,73,,4,2
3/7/2024,75,,4,2
3/8/2024,71,,4,2
3/8/2024,73,,5,2
