Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_FOL_500ft_ft,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
49.24,559.5102,1.095842800000014,1.2563857000000098,1.1813143000000537,-0.0470141999999214,-0.020228599999995822,-0.4251143000000184,1.1115000000000919,1.4567428999999947,0.5234000000000378,2.039814299999989,1.564657200000056,2e-05,11.1344,10.819,14.098,9.6726,14.9876,8.32592,0.00092,0.00072,0.30718,2.18222,1.2563857000000098,10.819,14.098,9.6726,14.9876,8.32592,0.00092,0.00072,0.30718,2.18222,0,1,0,POINT (-79.122264 36.069168),-79.1223,36.06913,0,0,0,5252,454400,3050,121650,55450,1200,94950,50550
46.86,562.4234857,0.8703428999999687,1.2563857000000098,0.4114428999999973,-0.020228599999995822,-0.4251143000000184,-0.8231856999999536,1.1115000000000919,1.0467856999999867,1.4567428999999947,1.186042900000075,2.039814299999989,8e-05,10.819,14.098,9.6726,0.001,14.9876,11.1344,8.32592,0.00092,0.0562,0.30718,1.2563857000000098,14.098,9.6726,0.001,14.9876,11.1344,8.32592,0.00092,0.0562,0.30718,0,1,0,POINT (-79.123256 36.06919799999999),-79.1232,36.06915,0,0,0,5245,454750,2700,121300,55100,1550,95300,50900
46.65,530.5290857,0.9817285999999967,0.7743285999999898,1.4058571000000484,1.055714299999977,0.53425720000007,2.838428600000043,1.2025285999999369,0.9380999999999631,0.9641285999999809,0.8856857000000673,0.8299999999999841,0.00076,19.26312,13.2766,8.6822,0.941,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0.7743285999999898,13.2766,8.6822,0.941,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0,1,0,POINT (-79.05317999999998 36.035926),-79.0531,36.0359,0,0,0,5903,421850,2350,154200,88000,7600,62400,18000
48.63,530.9681,0.7743285999999898,0.6528999999999314,1.4058571000000484,1.055714299999977,0.43070000000000164,4.520871399999919,1.2025285999999369,0.9330142000000023,0.9641285999999809,0.8856857000000673,0.8031857999999943,4e-05,19.26312,13.2766,8.6822,0.524,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0.6528999999999314,13.2766,8.6822,0.524,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0,1,0,POINT (-79.053302 36.035926),-79.0533,36.03591,0,0,0,5902,421900,2300,154150,87950,7650,62450,18050
48.13,530.5290857,0.9817285999999967,0.7743285999999898,1.4058571000000484,1.055714299999977,0.53425720000007,2.838428600000043,1.2025285999999369,0.9380999999999631,0.9641285999999809,0.8856857000000673,0.8299999999999841,0.00076,19.26312,13.2766,8.6822,0.941,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0.7743285999999898,13.2766,8.6822,0.941,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0,1,0,POINT (-79.053141 36.035937999999994),-79.0531,36.0359,0,0,0,5903,421850,2350,154200,88000,7600,62400,18000
47.4,530.5290857,0.9817285999999967,0.7743285999999898,1.4058571000000484,1.055714299999977,0.53425720000007,2.838428600000043,1.2025285999999369,0.9380999999999631,0.9641285999999809,0.8856857000000673,0.8299999999999841,0.00076,19.26312,13.2766,8.6822,0.941,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0.7743285999999898,13.2766,8.6822,0.941,1.4162,14.59428,12.82246,2.05012,1.16302,0.00104,0,1,0,POINT (-79.053149 36.03595700000001),-79.0531,36.0359,0,0,0,5903,421850,2350,154200,88000,7600,62400,18000
51.73,478.4708714,0.5458143000000177,1.1760856999999874,1.238042900000039,0.5584999999999809,0.6469857000000161,0.7327856999999653,1.6191858000000252,0.6778714999999806,1.3278429000000074,1.1626428000000146,1.2223427999999785,0.0,9.60296,6.17422,0.1532,1.2506,0.7414,14.8648,3.4566,13.57834,6.92622,0.0009,1.1760856999999874,6.17422,0.1532,1.2506,0.7414,14.8648,3.4566,13.57834,6.92622,0.0009,0,1,0,POINT (-78.973521 36.026905000000006),-78.9736,36.02687,0,0,0,6535,390250,5800,185800,13600,1300,30800,38550
52.84,419.5502143,0.31138570000001664,0.5729570999999964,0.8281999999999812,0.8007428999999888,0.4256429000000139,4.070157199999983,0.35862859999997454,7.468814199999997,7.9742142999999714,0.5387428999999884,0.33480000000002974,0.0004,0.6372,4.858,5.3902,13.9544,9.2752,0.001,6.834,10.251,11.2558,5.8212,0.5729570999999964,4.858,5.3902,13.9544,9.2752,0.001,6.834,10.251,11.2558,5.8212,0,1,0,POINT (-78.952754 36.020140999999995),-78.9528,36.02016,0,0,0,6739,380050,2300,196000,23800,1200,20600,28350
51.67,419.7073571,0.3066857000000027,0.5729570999999964,0.8281999999999812,0.7441714999999931,0.4256429000000139,4.070157199999983,0.35862859999997454,3.569142900000031,7.9742142999999714,0.5387428999999884,0.44658580000003667,0.0004,0.6372,4.858,5.3902,13.9544,9.2752,0.001,6.834,10.251,11.2558,5.8212,0.5729570999999964,4.858,5.3902,13.9544,9.2752,0.001,6.834,10.251,11.2558,5.8212,0,1,0,POINT (-78.95293699999999 36.020236),-78.953,36.02023,0,0,0,6738,380100,2250,195950,23750,1250,20650,28400
6.99,422.7957143,0.5169999999999959,0.8281999999999812,0.5184285999999929,0.4094857000000047,4.070157199999983,0.9686143000000129,0.5729570999999964,0.36110000000002174,0.36681429999998727,7.9742142999999714,0.5229572000000076,0.001,4.858,13.9544,9.2752,5.19,0.3678,0.6372,0.001,0.0012,6.834,11.2558,0.8281999999999812,13.9544,9.2752,5.19,0.3678,0.6372,0.001,0.0012,6.834,11.2558,0,1,0,POINT (-78.954409 36.021205),-78.9544,36.02113,0,0,0,6725,380750,1600,195300,23100,1900,21300,29050
51.89,423.9762,0.775328600000023,0.8281999999999812,0.49344279999996843,1.6153143000000227,4.070157199999983,0.8027858000000379,0.6763571000000184,0.5126285000000053,0.35862859999997454,7.9742142999999714,7.688457099999994,0.0006,5.3902,13.9544,9.2752,5.19,0.3678,0.001,0.6372,0.001,6.834,10.251,0.8281999999999812,13.9544,9.2752,5.19,0.3678,0.001,0.6372,0.001,6.834,10.251,0,1,0,POINT (-78.954722 36.021423),-78.9548,36.0214,0,0,0,6721,380950,1400,195100,22900,2100,21500,29250
51.87,426.5874,0.5184285999999929,0.49344279999996843,0.8298286000000417,4.070157199999983,0.904700000000048,0.9755428999999936,0.8281999999999812,0.5729570999999964,0.40461429999999154,0.36681429999998727,7.9742142999999714,0.0004,13.9544,9.2752,5.19,0.3678,2.0702,4.858,0.2664,0.6372,0.0012,6.834,0.49344279999996843,9.2752,5.19,0.3678,2.0702,4.858,0.2664,0.6372,0.0012,6.834,0,1,0,POINT (-78.955432 36.02191899999999),-78.9555,36.02191,0,0,0,6714,381300,1050,194750,22550,2450,21850,29600
53.96,428.1245,0.4199285000000259,0.4256429000000139,4.070157199999983,1.16640000000001,0.8478142999999818,1.0132143000000156,0.7441714999999931,0.8281999999999812,0.5729570999999964,0.35862859999997454,0.36681429999998727,13.9544,9.2752,2.9938,5.19,0.3678,3.0148,5.3902,4.858,0.6372,0.001,6.834,0.4256429000000139,2.9938,5.19,0.3678,3.0148,5.3902,4.858,0.6372,0.001,6.834,0,1,0,POINT (-78.95614899999998 36.022499),-78.9562,36.02247,0,0,0,6707,381650,700,194400,22200,2800,22200,29950
52.01,428.9496714,0.3153856999999789,0.9851428000000055,4.070157199999983,0.8574284999999691,1.0089714000000072,1.0132143000000156,0.49344279999996843,0.8281999999999812,0.5729570999999964,0.4156285999999909,0.36681429999998727,0.1138,9.2752,5.19,0.3678,2.0702,4.428,13.9544,4.858,0.001,0.6372,0.0012,0.9851428000000055,5.19,0.3678,2.0702,4.428,13.9544,4.858,0.001,0.6372,0.0012,0,1,0,POINT (-78.956485 36.02283799999999),-78.9565,36.02283,0,0,0,6703,381850,500,194200,22000,3000,22400,30150
50.47,427.1357429,0.9851428000000055,4.070157199999983,0.8574284999999691,1.0089714000000072,1.0132143000000156,0.0968000000000302,0.8298286000000417,0.49344279999996843,0.8281999999999812,0.5729570999999964,0.4156285999999909,0.0004,5.19,0.3678,2.0702,4.428,14.6794,9.2752,13.9544,4.858,0.001,0.6372,4.070157199999983,0.3678,2.0702,4.428,14.6794,9.2752,13.9544,4.858,0.001,0.6372,0,1,0,POINT (-78.957179 36.023735),-78.9572,36.02379,0,1,0,6693,382350,0,193700,21500,0,22900,30650
46.24,433.3491429,2.1736856999999645,1.1969856999999706,0.7879143000000113,1.0132143000000156,0.6917571999999836,1.418800000000033,4.070157199999983,0.4256429000000139,0.8007428999999888,0.8281999999999812,0.5729570999999964,0.0004,5.19,0.3678,2.0702,7.388,14.6794,9.2752,13.9544,5.3902,4.858,0.6372,1.1969856999999706,0.3678,2.0702,7.388,14.6794,9.2752,13.9544,5.3902,4.858,0.6372,0,1,0,POINT (-78.95742300000002 36.024261),-78.9574,36.02429,0,0,0,6688,382600,3100,193450,21250,250,23150,30900
51.0,433.9361143,1.1969856999999706,1.16640000000001,0.8478142999999818,1.0132143000000156,0.5250000000000341,1.592185699999959,4.070157199999983,0.4256429000000139,0.7441714999999931,0.8281999999999812,0.5729570999999964,0.0004,5.19,0.3678,3.0148,7.388,14.6794,9.2752,13.9544,5.3902,4.858,0.6372,1.16640000000001,0.3678,3.0148,7.388,14.6794,9.2752,13.9544,5.3902,4.858,0.6372,0,1,0,POINT (-78.95753 36.024318),-78.9575,36.02439,0,0,0,6687,382650,3050,193400,21200,300,23200,30950
48.36,433.9361143,1.1969856999999706,1.16640000000001,0.8478142999999818,1.0132143000000156,0.5250000000000341,1.592185699999959,4.070157199999983,0.4256429000000139,0.7441714999999931,0.8281999999999812,0.5729570999999964,0.0004,5.19,0.3678,3.0148,7.388,14.6794,9.2752,13.9544,5.3902,4.858,0.6372,1.16640000000001,0.3678,3.0148,7.388,14.6794,9.2752,13.9544,5.3902,4.858,0.6372,0,1,0,POINT (-78.957461 36.02435599999999),-78.9575,36.02439,0,0,0,6687,382650,3050,193400,21200,300,23200,30950
