Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont,x_coordinate,y_coordinate
0.0006,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.31122859999999264,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1300,7000,28450,2200,195900,23700,0,0,0,-78.9531,36.0203
0.0004,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.3066857000000027,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1250,6950,28400,2250,195950,23750,0,0,0,-78.953,36.02023
0.0004,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.31138570000001664,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1200,6900,28350,2300,196000,23800,0,0,0,-78.9528,36.02016
0.0002,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.33260000000001355,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1150,6850,28300,2350,196050,23850,0,0,0,-78.9527,36.02009
0.0002,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.3309714000000099,7.346828600000038,1.0107856999999854,10.422528600000021,0.4727713999999992,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1100,6800,28250,2400,196100,23900,0,0,0,-78.9526,36.02002
0.0,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.320471399999974,7.346828600000038,1.0107856999999854,10.422528600000021,0.37288569999998344,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1050,6750,28200,2450,196150,23950,0,0,0,-78.9525,36.01996
0.0004,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.3314143000000058,7.346828600000038,1.0107856999999854,10.422528600000021,0.22841429999999718,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1000,6700,28150,2500,196200,24000,0,0,0,-78.9524,36.01989
0.001,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.33464290000000574,7.346828600000038,1.0107856999999854,10.422528600000021,0.18870000000003984,2.5017286000000354,0.11715720000000829,1.285971399999994,0.7294713999999658,950,6650,28100,2550,196250,24050,0,0,0,-78.9523,36.01982
0.0006,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.3397856999999931,7.346828600000038,1.0107856999999854,10.422528600000021,0.18870000000003984,2.5017286000000354,0.037642900000037116,1.285971399999994,0.7294713999999658,900,6600,28050,2600,196300,24100,0,0,0,-78.9522,36.01975
0.0004,11.2558,2.4026,13.277,12.2306,13.9544,7.388,16.09134,13.57834,-0.35862859999997454,7.346828600000038,1.0107856999999854,10.422528600000021,0.18870000000003984,2.5017286000000354,0.387228499999992,1.285971399999994,0.7294713999999658,850,6550,28000,2650,196350,24150,0,0,0,-78.9521,36.01968
