"Curve_CUR_degree","Curve_Max_FOL_2500ft_degree","Curve_Max_FOL_2k5_5kft_degree","Curve_Max_FOL_5k_7k5ft_degree","Curve_Max_FOL_7k5_10kft_degree","Curve_Max_PRE_2500ft_degree","Curve_Max_PRE_2k5_5kft_degree","Curve_Max_PRE_5k_7k5ft_degree","Curve_Max_PRE_7k5_10kft_degree","Elev_Delta_CUR_ft","Elev_Delta_FOL_2500ft_ft","Elev_Delta_FOL_2k5_5kft_ft","Elev_Delta_FOL_5k_7k5ft_ft","Elev_Delta_FOL_7k5_10kft_ft","Elev_Delta_PRE_2500ft_ft","Elev_Delta_PRE_2k5_5kft_ft","Elev_Delta_PRE_5k_7k5ft_ft","Elev_Delta_PRE_7k5_10kft_ft","Distance_to_FOL_Intersection","Distance_to_FOL_Station","Distance_to_FOL_Switch","Distance_to_PRE_Intersection","Distance_to_PRE_Station","Distance_to_PRE_Switch","Carolinian","Crescent","Piedmont","Speed_mph"
0.6932,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.127157199999999,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3200,13100,20850,850,600,31300,0,0,0,21.5862070707957
2.49,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.338971500000014,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3150,13050,20800,900,650,31350,0,0,0,21.8390983966908
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.480028500000003,0.472771399999999,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3100,13000,20750,950,700,31400,0,0,0,22.2536445954143
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.472771399999999,0.372885699999983,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3050,12950,20700,1000,750,31450,0,0,0,22.6575091927892
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.372885699999983,0.228414299999997,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3000,12900,20650,1050,800,31500,0,0,0,22.6001248355099
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.228414299999997,0.18870000000004,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,2950,12850,20600,1100,850,31550,0,0,0,22.6374550548461
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.132285800000034,0.18870000000004,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,2900,12800,20550,1150,900,31600,0,0,0,22.5264658419274
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0366857000000209,0.18870000000004,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,2850,12750,20500,1200,950,31650,0,0,0,22.5981068578005
1.365,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,-0.0560429000000227,0.18870000000004,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.14704290000003,2800,12700,20450,1250,1000,31700,0,0,0,22.0759337219532
1.4646,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,-0.120499999999993,0.368214299999977,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,0.319785699999954,2750,12650,20400,1300,1050,31750,0,0,0,22.195135711246
4e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,-0.205585700000029,1.2887571,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,0.00158570000002101,2700,12600,20350,1350,1100,31800,0,0,0,21.9238152158991
2e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,-0.245142900000019,1.72034289999999,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,0.00158570000002101,2650,12550,20300,1400,1150,31850,0,0,0,21.9204313587562
6e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,-0.240571399999965,1.80142860000001,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,-0.0452000000000226,2600,12500,20250,1450,1200,31900,0,0,0,22.3150866493603
