Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Loco,Coach,CCU,x_coordinate,y_coordinate
0.0,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0008028569999999035,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3300,13200,20950,750,500,31200,1,4,0,-78.9347,36.0138
0.0004,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0006565709999995306,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3250,13150,20900,800,550,31250,1,4,0,-78.9346,36.01371
0.6932,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0012715719999999919,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3200,13100,20850,850,600,31300,1,4,0,-78.9345,36.01362
2.49,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0033897150000001377,0.004800285000000031,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3150,13050,20800,900,650,31350,1,4,0,-78.9345,36.01353
0.0006,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.004800285000000031,0.004727713999999991,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3100,13000,20750,950,700,31400,1,4,0,-78.9344,36.01343
0.0006,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.004727713999999991,0.0037288569999998343,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3050,12950,20700,1000,750,31450,1,4,0,-78.9343,36.01334
0.0006,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0037288569999998343,0.002284142999999972,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,3000,12900,20650,1050,800,31500,1,4,0,-78.9342,36.01325
0.0006,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.002284142999999972,0.0018870000000003983,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,2950,12850,20600,1100,850,31550,1,4,0,-78.9342,36.01315
0.0006,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0013228580000003375,0.0018870000000003983,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,2900,12800,20550,1150,900,31600,1,4,0,-78.9341,36.01306
0.0006,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.00036685700000020914,0.0018870000000003983,0.0184820000000002,0.026334428999999774,0.0411164279999997,0.10422528600000021,0.010107856999999854,0.07346828600000038,0.025017286000000354,2850,12750,20500,1200,950,31650,1,4,0,-78.934,36.01297
