Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_FOL_2500ft_ft,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont
50.47,427.1357429,0.009851428000000056,0.040701571999999825,0.01773228499999959,0.01718371399999967,0.016191858000000253,0.008298286000000417,0.07974214299999971,0.00018514299999992546,0.09810471399999983,0.0004,14.6794,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,0.040701571999999825,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,,,,POINT (-78.957179 36.023735),-78.9572,36.02379,0,1,0,6693,382350,0,193700,21500,0,22900,30650,1,0,0
46.24,433.3491429,0.021736856999999644,0.014188000000000329,0.01773228499999959,0.016191858000000253,0.01238042900000039,0.040701571999999825,0.07974214299999971,0.0004494280000000117,0.09810471399999983,0.0004,14.6794,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,0.014188000000000329,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,,,,POINT (-78.95742300000002 36.024261),-78.9574,36.02429,0,0,0,6688,382600,3100,193450,21250,250,23150,30900,1,0,0
51.0,433.9361143,0.011969856999999706,0.01592185699999959,0.01773228499999959,0.016191858000000253,0.01238042900000039,0.040701571999999825,0.07974214299999971,0.00094757100000038,0.09810471399999983,0.0004,14.6794,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,0.01592185699999959,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,,,,POINT (-78.95753 36.024318),-78.9575,36.02439,0,0,0,6687,382650,3050,193400,21200,300,23200,30950,0,0,1
48.36,433.9361143,0.011969856999999706,0.01592185699999959,0.01773228499999959,0.016191858000000253,0.01238042900000039,0.040701571999999825,0.07974214299999971,0.00094757100000038,0.09810471399999983,0.0004,14.6794,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,0.01592185699999959,16.09134,14.8648,9.60296,13.9544,11.2558,2.4026,13.277,,,,POINT (-78.957461 36.02435599999999),-78.9575,36.02439,0,0,0,6687,382650,3050,193400,21200,300,23200,30950,0,0,1
48.06,436.9285571,0.008267571999999746,0.017360999999999648,0.01773228499999959,0.016191858000000253,0.01238042900000039,0.040701571999999825,0.07974214299999971,0.0018131429999999683,0.09810471399999983,0.0004,14.6794,16.09134,14.8648,6.17422,13.9544,11.2558,5.8212,13.277,0.017360999999999648,16.09134,14.8648,6.17422,13.9544,11.2558,5.8212,13.277,,,,POINT (-78.957866 36.024978),-78.9578,36.025,0,0,0,6681,382950,2750,193100,20900,600,23500,31250,0,0,1
46.51,438.8911143,0.007498999999999683,0.017360999999999648,0.01773228499999959,0.016191858000000253,0.01238042900000039,0.040701571999999825,0.07974214299999971,0.005229428000000098,0.09810471399999983,0.3678,14.6794,16.09134,14.8648,6.17422,13.9544,11.2558,5.8212,13.277,0.017360999999999648,16.09134,14.8648,6.17422,13.9544,11.2558,5.8212,13.277,,,,POINT (-78.95813999999999 36.025455),-78.9581,36.02549,0,0,0,6676,383200,2500,192850,20650,850,23750,31500,1,0,0
49.88,442.2716286,0.008478142999999818,0.017360999999999648,0.01773228499999959,0.016191858000000253,0.007327856999999653,0.040701571999999825,0.07974214299999971,0.005387428999999884,0.04942985799999974,0.0006,14.6794,16.09134,14.8648,4.6482,13.9544,8.4002,11.2558,13.277,0.017360999999999648,16.09134,14.8648,4.6482,13.9544,8.4002,11.2558,13.277,,,,POINT (-78.95872 36.026428),-78.9587,36.02639,0,0,0,6667,383650,2050,192400,20200,1300,24200,31950,0,0,1
47.58,445.6132571,0.00936671399999966,0.017377427999999782,0.01773228499999959,0.016191858000000253,0.007327856999999653,0.040701571999999825,0.07974214299999971,0.07935685799999988,-0.0005472860000003266,0.0002,14.6794,16.09134,14.8648,1.2506,13.9544,6.834,11.2558,8.2028,0.017377427999999782,16.09134,14.8648,1.2506,13.9544,6.834,11.2558,8.2028,,,,POINT (-78.95909399999998 36.027046),-78.9591,36.02709,0,0,0,6660,384000,1700,192050,19850,1650,24550,32300,1,0,0
47.87,445.6132571,0.00936671399999966,0.017377427999999782,0.01773228499999959,0.016191858000000253,0.007327856999999653,0.040701571999999825,0.07974214299999971,0.07935685799999988,-0.0005472860000003266,0.0002,14.6794,16.09134,14.8648,1.2506,13.9544,6.834,11.2558,8.2028,0.017377427999999782,16.09134,14.8648,1.2506,13.9544,6.834,11.2558,8.2028,,,,POINT (-78.95914699999999 36.027099),-78.9591,36.02709,0,0,0,6660,384000,1700,192050,19850,1650,24550,32300,1,0,0
5.92,475.7037429,0.015188142999999741,0.012887857000000053,0.00682157200000006,-0.0035347139999998946,-0.0017364279999998189,0.01718371399999967,0.01773228499999959,0.040701571999999825,0.010686857000000032,6e-05,9.60296,0.916,5.1254,15.81278,14.8648,16.09134,14.6794,13.9544,0.012887857000000053,0.916,5.1254,15.81278,14.8648,16.09134,14.6794,13.9544,,,,POINT (-78.972743 36.026996000000004),-78.9728,36.02692,0,0,0,6541,389950,6100,186100,13900,1000,30500,38250,0,0,1
