Node_ID,Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_FOL_2500ft_ft,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Loco,Coach,CCU
5903,47.05,530.5290857,-0.009817285999999967,-0.0018611420000002,0.006953857999999968,0.006517714000000297,0.012385143000000199,0.04288942899999938,0.007750570999999127,0.0211231429999998,0.026761142999999946,0.00076,14.59428,14.08598,22.3026,19.7848,19.26312,4.0218,10.264,4.7804,-0.0018611420000002,14.08598,22.3026,19.7848,19.26312,4.0218,10.264,4.7804,,,,POINT (-79.053149 36.035937999999994),-79.0531,36.0359,0,0,0,5903,295150,7600,62400,18000,2350,154200,88000,1.0,4.0,1.0
6530,51.26,480.9200286,-0.010930429000000004,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.006130856999999992,0.00857957199999987,0.009782999999999901,1.30096,14.8648,16.09134,14.6794,13.9544,6.17422,0.916,7.95424,15.81278,0.007294713999999658,16.09134,14.6794,13.9544,6.17422,0.916,7.95424,15.81278,,,,POINT (-78.97428400000001 36.026927),-78.9743,36.02688,0,0,0,6530,326500,1550,31050,38800,5550,185550,13350,2.0,4.0,0.0
6538,52.71,477.5259143,-0.009718284999999582,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.006029429000000164,0.00857957199999987,0.009782999999999901,2.50116,14.8648,16.09134,14.6794,13.9544,9.60296,0.916,5.1254,15.81278,0.007294713999999658,16.09134,14.6794,13.9544,9.60296,0.916,5.1254,15.81278,,,,POINT (-78.973246 36.02694699999999),-78.9732,36.02689,0,0,0,6538,326900,1150,30650,38400,5950,185950,13750,2.0,4.0,0.0
6540,51.3,476.3576857,-0.012887857000000053,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.0058464290000000575,0.008027571999999737,0.009782999999999901,0.0,14.8648,16.09134,14.6794,13.9544,9.60296,0.916,5.1254,15.81278,0.007294713999999658,16.09134,14.6794,13.9544,9.60296,0.916,5.1254,15.81278,,,,POINT (-78.972957 36.02698099999999),-78.9729,36.02691,0,0,0,6540,327000,1050,30550,38300,6050,186050,13850,1.0,7.0,0.0
6736,55.23,420.0185857,-0.0036110000000002173,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.004800285000000031,0.025017286000000354,0.002577999999999747,0.01285971399999994,0.007294713999999658,0.001,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,0.07346828600000038,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,,,,POINT (-78.953173 36.020396999999996),-78.9532,36.02037,0,0,0,6736,336800,1350,20750,28500,2150,195850,23650,2.0,4.0,0.0
6730,51.96,421.4352857,-0.005632572000000096,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.004800285000000031,0.025017286000000354,0.002577999999999747,0.01285971399999994,0.007294713999999658,0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,0.07346828600000038,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,,,,POINT (-78.953746 36.020797),-78.9538,36.02078,0,0,0,6730,336500,1650,21050,28800,1850,195550,23350,2.0,4.0,0.0
6724,54.72,423.0333429,-0.005041286000000014,0.07346828600000038,0.010107856999999854,0.0535592859999997,0.10422528600000021,0.025017286000000354,0.002577999999999747,0.01285971399999994,0.007294713999999658,0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,0.07346828600000038,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,,,,POINT (-78.954524 36.021259),-78.9545,36.02119,0,0,0,6724,336200,1950,21350,29100,1550,195250,23050,2.0,4.0,0.0
6719,51.6,424.8044,-0.008159856999999987,0.07346828600000038,0.06559000000000026,0.007373000000000047,0.10422528600000021,0.025017286000000354,0.00994428599999992,0.01285971399999994,0.007294713999999658,4.858,10.251,11.2558,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,0.07346828600000038,11.2558,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,,,,POINT (-78.95501199999998 36.02157199999999),-78.955,36.02154,0,0,0,6719,335950,2200,21600,29350,1300,195000,22800,1.0,7.0,0.0
6710,53.73,427.4559571,-0.0049344279999996845,-0.0008331429999998363,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.025017286000000354,0.01285971399999994,0.0026795709999998963,0.007294713999999658,0.0006,6.834,11.2558,8.2028,13.277,13.9544,14.6794,16.09134,14.8648,-0.0008331429999998363,11.2558,8.2028,13.277,13.9544,14.6794,16.09134,14.8648,,,,POINT (-78.955859 36.022228),-78.9559,36.02222,0,0,0,6710,335500,2650,22050,29800,850,194550,22350,2.0,5.0,0.0
6699,52.36,429.1274286,-0.0008809999999999718,1.5857000000210065e-05,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.025017286000000354,0.01285971399999994,0.007294713999999658,0.002258572000000072,0.0004,13.9544,11.2558,2.4026,13.277,9.2752,16.09134,13.57834,14.8648,1.5857000000210065e-05,11.2558,2.4026,13.277,9.2752,16.09134,13.57834,14.8648,,,,POINT (-78.956744 36.023208),-78.9568,36.0232,0,0,0,6699,334950,3200,22600,30350,300,194000,21800,2.0,4.0,0.0
6694,10.56,426.6785286,-0.008298286000000417,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.001171572000000083,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,0.0,13.9544,11.2558,2.4026,13.277,14.6794,16.09134,14.8648,9.60296,0.025017286000000354,11.2558,2.4026,13.277,14.6794,16.09134,14.8648,9.60296,,,,POINT (-78.95707999999999 36.023696),-78.9571,36.02369,0,0,0,6694,334700,3450,22850,30600,50,193750,21550,2.0,5.0,0.0
6685,51.68,435.1025143,-0.010629571000000055,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,5.19,13.9544,11.2558,5.2626,13.277,14.6794,16.09134,14.8648,9.60296,0.025017286000000354,11.2558,5.2626,13.277,14.6794,16.09134,14.8648,9.60296,,,,POINT (-78.95758299999999 36.024578),-78.9576,36.0246,0,0,0,6685,334250,400,23300,31050,2950,193300,21100,1.0,7.0,0.0
6681,51.31,436.9285571,-0.008267571999999746,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,0.0004,13.9544,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,0.025017286000000354,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,,,,POINT (-78.95781200000002 36.025012),-78.9578,36.025,0,0,0,6681,334050,600,23500,31250,2750,193100,20900,1.0,7.0,0.0
6679,48.23,437.7313429,-0.007705571000000191,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,0.0008,13.9544,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,0.025017286000000354,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,,,,POINT (-78.95798 36.025176),-78.958,36.02519,0,0,0,6679,333950,700,23600,31350,2650,193000,20800,2.0,4.0,0.0
6677,51.51,438.5047571,-0.007800143000000048,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,0.0608,13.9544,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,0.025017286000000354,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,,,,POINT (-78.958079 36.025386),-78.9581,36.02539,0,0,0,6677,333850,800,23700,31450,2550,192900,20700,2.0,4.0,0.0
6670,48.22,441.1061429,-0.007120142999999643,0.025017286000000354,0.07346828600000038,0.047458572000000455,0.006506713999999647,0.007149286000000075,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,0.001,13.9544,10.251,11.2558,13.277,14.6794,16.09134,14.8648,4.6482,0.025017286000000354,10.251,11.2558,13.277,14.6794,16.09134,14.8648,4.6482,,,,POINT (-78.958506 36.025997),-78.9585,36.02609,0,0,0,6670,333500,1150,24050,31800,2200,192550,20350,2.0,4.0,0.0
6665,51.59,443.1582571,-0.009270142999999962,0.025017286000000354,0.012760571000000028,0.07346828600000038,0.008682000000000016,0.01285971399999994,0.0026795709999998963,0.007294713999999658,-0.0041058569999995595,0.609,13.9544,6.834,11.2558,11.7244,14.6794,16.09134,14.8648,1.2506,0.025017286000000354,6.834,11.2558,11.7244,14.6794,16.09134,14.8648,1.2506,,,,POINT (-78.958812 36.026618000000006),-78.9588,36.02659,0,0,0,6665,333250,1400,24300,32050,1950,192300,20100,2.0,4.0,0.0
6661,49.06,445.1470143,-0.009728570999999988,0.025017286000000354,-0.0008331429999998363,0.07346828600000038,0.010107856999999854,0.01285971399999994,0.0026795709999998963,0.007294713999999658,-0.0013877139999999598,0.0,13.9544,6.834,11.2558,8.2028,14.6794,16.09134,14.8648,1.2506,0.025017286000000354,6.834,11.2558,8.2028,14.6794,16.09134,14.8648,1.2506,,,,POINT (-78.95900199999998 36.026999999999994),-78.959,36.02699,0,0,0,6661,333050,1600,24500,32250,1750,192100,19900,1.0,7.0,0.0
6522,52.72,485.2700429,-0.011725000000000136,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.006130856999999992,0.00857957199999987,0.009782999999999901,6.17422,14.8648,16.09134,14.6794,13.9544,4.6482,0.815,7.95424,15.81278,0.007294713999999658,16.09134,14.6794,13.9544,4.6482,0.815,7.95424,15.81278,,,,POINT (-78.975337 36.02702699999998),-78.9753,36.02697,0,0,0,6522,326100,1950,31450,39200,5150,185150,12950,1.0,7.0,0.0
6514,63.7,488.4554429,-0.005411999999999466,0.007294713999999658,0.0026795709999998963,0.01285971399999994,0.025017286000000354,-0.0037551429999996343,0.006130856999999992,0.00857957199999987,0.009782999999999901,0.1532,14.8648,16.09134,14.6794,13.9544,1.2506,0.3502,10.34818,15.81278,0.007294713999999658,16.09134,14.6794,13.9544,1.2506,0.3502,10.34818,15.81278,,,,POINT (-78.976443 36.027168),-78.9764,36.02715,0,0,0,6514,325700,2350,31850,39600,4750,184750,12550,2.0,4.0,0.0
6508,60.69,489.8566714,-0.004208143000000177,0.007294713999999658,0.004061999999999557,0.01285971399999994,0.025017286000000354,0.0014229999999997745,0.006130856999999992,0.00857957199999987,0.009782999999999901,0.0006,14.8648,16.09134,14.6794,13.9544,1.2506,1.5666,15.81278,8.60902,0.007294713999999658,16.09134,14.6794,13.9544,1.2506,1.5666,15.81278,8.60902,,,,POINT (-78.97718300000001 36.027346999999985),-78.9772,36.02731,0,0,0,6508,325400,2650,32150,39900,4450,184450,12250,1.0,7.0,0.0
7143,0.02,399.2818429,-0.0014052860000003874,0.04193328599999972,0.01730599999999981,0.011405999999999495,0.03723328599999945,0.028427857000000358,0.0411164279999997,0.026334428999999774,0.0184820000000002,0.0006,0.9358,12.585,9.2336,7.5188,12.0578,18.6866,15.469,17.824,0.04193328599999972,12.585,9.2336,7.5188,12.0578,18.6866,15.469,17.824,,,,POINT (-78.90737399999999 35.99758899999999),-78.9074,35.99757,0,0,0,7143,357150,500,400,8150,600,216200,44000,1.0,7.0,0.0
7142,0.7,399.3251,-0.0011119999999999663,0.04193328599999972,0.01730599999999981,0.011405999999999495,0.03723328599999945,0.028427857000000358,0.0411164279999997,0.026334428999999774,0.0184820000000002,0.0,0.9358,12.585,9.2336,7.5188,12.0578,18.6866,15.469,17.824,0.04193328599999972,12.585,9.2336,7.5188,12.0578,18.6866,15.469,17.824,,,,POINT (-78.90744299999999 35.99762299999999),-78.9075,35.99763,0,0,0,7142,357100,550,450,8200,550,216150,43950,1.0,7.0,0.0
